bought on 2010-02-17 00:00:00, sold on 2010-04-20 00:00:00, profit 1.5, ROI: 0.21%
bought on 2010-06-02 00:00:00, sold on 2010-06-08 00:00:00, profit -0.52, ROI: -0.06%
bought on 2010-06-16 00:00:00, sold on 2010-06-29 00:00:00, profit -0.4, ROI: -0.04%
bought on 2010-07-26 00:00:00, sold on 2010-08-11 00:00:00, profit -0.32, ROI: -0.04%
bought on 2010-09-03 00:00:00, sold on 2010-10-04 00:00:00, profit 0.71, ROI: 0.08%
bought on 2010-12-03 00:00:00, sold on 2010-12-16 00:00:00, profit 0.14, ROI: 0.01%
bought on 2011-02-08 00:00:00, sold on 2011-02-18 00:00:00, profit -0.17, ROI: -0.01%
bought on 2011-03-29 00:00:00, sold on 2011-04-05 00:00:00, profit -0.43, ROI: -0.03%
bought on 2011-04-21 00:00:00, sold on 2011-05-13 00:00:00, profit -0.36, ROI: -0.03%
bought on 2011-06-01 00:00:00, sold on 2011-06-07 00:00:00, profit -0.48, ROI: -0.04%
bought on 2011-06-27 00:00:00, sold on 2011-08-03 00:00:00, profit 2.16, ROI: 0.18%
bought on 2011-08-30 00:00:00, sold on 2011-09-09 00:00:00, profit -0.45, ROI: -0.03%
bought on 2011-09-15 00:00:00, sold on 2011-09-28 00:00:00, profit 0.14, ROI: 0.01%
bought on 2011-10-13 00:00:00, sold on 2011-10-21 00:00:00, profit -0.56, ROI: -0.04%
bought on 2011-12-02 00:00:00, sold on 2011-12-16 00:00:00, profit -0.31, ROI: -0.02%
avg ROI: 0.01, annualized ROI: 7.75
